event_id,event_type,title,description,category,severity,status,location,building,floor,camera_id,timestamp,confidence,ai_confidence,thumbnail_url,video_url,timeline_event,timeline_time,acknowledged,remarks_count
1,Student Distribution,Overcrowding Detected,Student density exceeded safe threshold in cafeteria during lunch hour.,Safety,High,Open,Main Cafeteria,Building A,Ground,CAM001,2026-02-10 12:30:00,94%,94%,thumb1.jpg,video1.mp4,Event Detected,2026-02-10 12:30:00,false,2
2,Security,Unauthorized Access,Unknown person detected near server racks.,Security,Critical,Open,Server Room,Building A,Basement,CAM002,2026-02-10 12:15:00,98%,97%,thumb2.jpg,video2.mp4,Motion Detected,2026-02-10 12:14:00,false,1
3,Cleaning,Hygiene Alert,Trash overflow detected in washroom area.,Maintenance,Medium,In Progress,Washroom Block C,Building C,1,CAM003,2026-02-10 12:05:00,89%,88%,thumb3.jpg,video3.mp4,Alert Triggered,2026-02-10 12:05:00,true,0
4,Student Distribution,Crowd Gathering,High student gathering on staircase.,Safety,Medium,Open,Staircase,Building B,3,CAM004,2026-02-10 11:30:00,91%,90%,thumb4.jpg,video4.mp4,Crowd Detected,2026-02-10 11:29:00,false,0
5,Security,Tailgating Detected,Multiple people entered on single access.,Security,High,Resolved,Main Gate,Building A,Ground,CAM005,2026-02-10 11:20:00,87%,86%,thumb5.jpg,video5.mp4,Access Violation,2026-02-10 11:19:00,true,3
6,Staff,Staff Presence,Staff attendance detected in library.,Monitoring,Low,Closed,Library,Building D,2,CAM006,2026-02-10 10:50:00,85%,84%,thumb6.jpg,video6.mp4,Presence Logged,2026-02-10 10:50:00,true,0
7,Student Distribution,Lunch Rush,Heavy student rush detected.,Safety,Medium,Open,Food Court,Building A,Ground,CAM007,2026-02-10 12:40:00,92%,91%,thumb7.jpg,video7.mp4,Crowd Peak,2026-02-10 12:39:00,false,1
8,Security,Suspicious Movement,Loitering detected near parking.,Security,Medium,Open,Parking Area,Building E,Ground,CAM008,2026-02-10 12:10:00,88%,87%,thumb8.jpg,video8.mp4,Loitering Detected,2026-02-10 12:09:00,false,0
9,Cleaning,Wet Floor Alert,Water spill detected on floor.,Maintenance,Low,In Progress,Hallway,Building C,2,CAM009,2026-02-10 11:55:00,90%,89%,thumb9.jpg,video9.mp4,Spill Detected,2026-02-10 11:54:00,true,0
10,Security,Restricted Area Entry,Person entered restricted lab.,Security,Critical,Open,Lab 3,Building F,1,CAM010,2026-02-10 12:25:00,96%,95%,thumb10.jpg,video10.mp4,Breach Detected,2026-02-10 12:25:00,false,4
